date,KRW
1980-07-03 00:00:00,402229.58806000004
1980-07-04 00:00:00,402763.60530000005
1980-07-07 00:00:00,397036.35307
1980-07-08 00:00:00,412311.65939000004
1980-07-09 00:00:00,405991.44271000003
1980-07-10 00:00:00,397787.61960000003
1980-07-11 00:00:00,396473.33094
1980-07-14 00:00:00,388135.29485
1980-07-15 00:00:00,371859.41876000003
1980-07-16 00:00:00,374034.01193000004
1980-07-17 00:00:00,376100.27479000005
1980-07-18 00:00:00,365041.76982000005
1980-07-21 00:00:00,370586.57551000005
1980-07-22 00:00:00,363870.48126000003
1980-07-23 00:00:00,376573.77501000004
1980-07-24 00:00:00,376810.32079
1980-07-25 00:00:00,387699.12399000005
1980-07-28 00:00:00,380473.40311
1980-07-29 00:00:00,386937.62340000004
1980-07-30 00:00:00,385117.05444000004
1980-07-31 00:00:00,378648.53349000006
1980-08-01 00:00:00,393724.26303000003
1980-08-04 00:00:00,381221.84312000003
1980-08-05 00:00:00,383119.51164000004
1980-08-06 00:00:00,379893.47332000005
1980-08-07 00:00:00,383036.76157000003
1980-08-08 00:00:00,382007.86938000005
1980-08-11 00:00:00,371900.90921
1980-08-12 00:00:00,370879.55163
1980-08-13 00:00:00,372120.66561
1980-08-14 00:00:00,376331.32396
1980-08-15 00:00:00,377507.85452000005
1980-08-18 00:00:00,368995.72826
1980-08-19 00:00:00,377483.35914
1980-08-20 00:00:00,377420.34114000003
1980-08-21 00:00:00,387963.28190000006
1980-08-22 00:00:00,387930.45310000004
1980-08-25 00:00:00,387930.45310000004
1980-08-26 00:00:00,379396.94631
1980-08-27 00:00:00,379872.84637000004
1980-08-28 00:00:00,380711.95559
1980-08-29 00:00:00,390549.06566
1980-09-01 00:00:00,384243.30568000005
1980-09-02 00:00:00,386000.56907
1980-09-03 00:00:00,389263.30168000003
1980-09-04 00:00:00,389053.40519
1980-09-05 00:00:00,396243.33282
1980-09-08 00:00:00,403057.79169000004
1980-09-09 00:00:00,414694.0211
1980-09-10 00:00:00,421638.08848000003
1980-09-11 00:00:00,414161.81008
1980-09-12 00:00:00,424217.76608000003
1980-09-15 00:00:00,414375.28075000003
1980-09-16 00:00:00,413326.90082000004
1980-09-17 00:00:00,418673.32465
1980-09-18 00:00:00,417389.11138
1980-09-19 00:00:00,417611.24573
1980-09-22 00:00:00,429354.43627000006
1980-09-23 00:00:00,442935.20763
1980-09-24 00:00:00,438072.17616000003
1980-09-25 00:00:00,434038.72631000006
1980-09-26 00:00:00,430369.22642
1980-09-29 00:00:00,424584.36976000003
1980-09-30 00:00:00,418749.99518
1980-10-01 00:00:00,423878.57434000005
1980-10-02 00:00:00,422401.04575000005
1980-10-03 00:00:00,418611.93953000003
1980-10-06 00:00:00,417849.83809000003
1980-10-07 00:00:00,423888.64255000005
1980-10-08 00:00:00,420505.80273000005
1980-10-09 00:00:00,424373.93545000005
1980-10-10 00:00:00,424343.59226000006
1980-10-13 00:00:00,422848.1681
1980-10-14 00:00:00,417576.91477000003
1980-10-15 00:00:00,419114.14615000004
1980-10-16 00:00:00,415713.74489000003
1980-10-17 00:00:00,412474.91653000005
1980-10-20 00:00:00,407864.62207000004
1980-10-21 00:00:00,399815.38678000006
1980-10-22 00:00:00,404146.92997000006
1980-10-23 00:00:00,396613.42385
1980-10-24 00:00:00,384054.69311000005
1980-10-27 00:00:00,387815.81824000005
1980-10-28 00:00:00,386522.94765000005
1980-10-29 00:00:00,393291.95124
1980-10-30 00:00:00,393776.00032000005
1980-10-31 00:00:00,414417.51287000004
1980-11-03 00:00:00,412125.64474
1980-11-04 00:00:00,419225.66327
1980-11-05 00:00:00,424966.54151
1980-11-06 00:00:00,412580.32097000006
1980-11-07 00:00:00,396002.78442000004
1980-11-10 00:00:00,409260.04413000005
1980-11-11 00:00:00,397370.55752000003
1980-11-12 00:00:00,404224.01725000003
1980-11-13 00:00:00,404456.71151000005
1980-11-14 00:00:00,406613.95295
1980-11-17 00:00:00,403748.87500000006
1980-11-18 00:00:00,408900.11063
1980-11-19 00:00:00,419581.41696000006
1980-11-20 00:00:00,422279.39346000005
1980-11-21 00:00:00,428994.72042
1980-11-24 00:00:00,430645.47684
1980-11-25 00:00:00,413415.53728000005
1980-11-26 00:00:00,419366.06849000003
1980-11-27 00:00:00,416117.83727
1980-11-28 00:00:00,409443.85875
1980-12-01 00:00:00,420181.71883
1980-12-02 00:00:00,415623.31672000006
1980-12-03 00:00:00,415599.759
1980-12-04 00:00:00,419222.54771
1980-12-05 00:00:00,411642.39626
1980-12-08 00:00:00,407714.07394000003
1980-12-09 00:00:00,407227.99286000006
1980-12-10 00:00:00,394669.27690000006
